,Survey Year,SalaryUSD,PostalCode,EmploymentStatus,JobTitle,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,Gender,OtherJobDuties
25,2020,75000.0,19116,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
26,2020,185000.0,92804,Full time employee,Engineer,15,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
28,2020,116000.0,05,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",9,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
29,2020,55000.0,,Full time employee,Analyst,0,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
30,2020,40000.0,44281,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
31,2020,115000.0,32232,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),7,3,1,Male,Not Asked
32,2020,53000.0,14203,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
33,2020,95000.0,33624,Full time employee,Engineer,1,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
34,2020,142000.0,22180,Full time employee,Analyst,5,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
35,2020,100000.0,,Full time employee,Analyst,11,3,2,Male,Not Asked
36,2020,122000.0,,Full time employee of a consulting/contracting company,Architect,5,3,More than 5,Male,Not Asked
37,2020,60000.0,17011,Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",1,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
38,2020,78000.0,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",2,1 (this is the only company where I've had this kind of position),2,Female,Not Asked
41,2020,103000.0,33131,Full time employee of a consulting/contracting company,Other,10,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
42,2020,85000.0,30067,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
43,2020,100000.0,31419,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),20,3,None,Male,Not Asked
46,2020,85000.0,98052,Full time employee,Developer: T-SQL,6,1 (this is the only company where I've had this kind of position),None,Female,Not Asked
50,2020,85000.0,64015,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),10,4,None,Male,Not Asked
51,2020,81000.0,,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
52,2020,148000.0,60642,Full time employee,Data Scientist,7,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
53,2020,148000.0,60642,Full time employee,Data Scientist,7,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
54,2020,50000.0,,Full time employee,Engineer,1,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
56,2020,55000.0,92780,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
58,2020,115000.0,,Full time employee,Data Scientist,1,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
59,2020,115000.0,98107,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",3,1 (this is the only company where I've had this kind of position),5,Male,Not Asked
61,2020,130000.0,84094,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",10,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
63,2020,98000.0,08807,Full time employee,Analyst,5,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
65,2020,62000.0,93041,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
66,2020,68000.0,32216,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",2,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
67,2020,117000.0,,Full time employee,Analyst,3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
68,2020,82500.0,12203,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",6,1 (this is the only company where I've had this kind of position),1,Female,Not Asked
69,2020,130000.0,21030,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),20,6 or more,2,Male,Not Asked
70,2020,50000.0,64138,Full time employee,Other,1,1 (this is the only company where I've had this kind of position),More than 5,Female,Not Asked
72,2020,105000.0,53202,Full time employee,Developer: T-SQL,4,2 (I worked at another similar position elsewhere before this one),None,Female,Not Asked
73,2020,30000.0,,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
74,2020,97500.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,4,None,Male,Not Asked
75,2020,230000.0,90006,"Independent consultant, contractor, freelancer,  or company owner","Developer: Business Intelligence (SSRS, PowerBI, etc)",3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
76,2020,54000.0,84,Full time employee,Analyst,1,2 (I worked at another similar position elsewhere before this one),None,Non-binary/third gender,Not Asked
77,2020,165000.0,01534,Full time employee,Architect,5,1 (this is the only company where I've had this kind of position),None,Female,Not Asked
78,2020,145000.0,,Full time employee,Manager,1,3,2,Male,Not Asked
79,2020,115000.0,,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",8,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
80,2020,100000.0,08009,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",1,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
81,2020,102990.0,85003,Full time employee,Developer: T-SQL,8,3,1,Male,Not Asked
82,2020,135000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),22,5,3,Male,Not Asked
83,2020,47000.0,37604,Full time employee,Developer: T-SQL,1,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
84,2020,155000.0,750,Full time employee,Manager,4,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
85,2020,95000.0,19125,Full time employee,"Developer: App code (C#, JS, etc)",3,2 (I worked at another similar position elsewhere before this one),3,Male,Not Asked
87,2020,101000.0,802,Full time employee,Manager,4,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
88,2020,83000.0,46055,Full time employee,Data Scientist,3,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
89,2020,140000.0,75023,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",13,4,4,Male,Not Asked
90,2020,125000.0,37204,Full time employee,Manager,6,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
91,2020,57000.0,80111,Full time employee,Analyst,0,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
92,2020,68000.0,10017,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
93,2020,105000.0,,Full time employee,Developer: T-SQL,4,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
94,2020,80000.0,70592,Full time employee,"Developer: App code (C#, JS, etc)",15,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
95,2020,95000.0,43215,Full time employee,Analyst,2,2 (I worked at another similar position elsewhere before this one),4,Male,Not Asked
96,2020,100000.0,85015,Full time employee,Analyst,6,3,5,Male,Not Asked
97,2020,150000.0,,Full time employee,Manager,1,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
98,2020,93500.0,33607,Full time employee,Analyst,10,2 (I worked at another similar position elsewhere before this one),5,Female,Not Asked
99,2020,91000.0,19104,Full time employee,Data Scientist,3,4,None,Male,Not Asked
100,2020,77500.0,38103,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),1,Female,Not Asked
101,2020,50000.0,85379,Full time employee,Developer: T-SQL,1,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
102,2020,125000.0,,Full time employee,Analyst,11,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
103,2020,92000.0,28202,Full time employee,Developer: T-SQL,3,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
104,2020,55000.0,54401,Full time employee,Analyst,2,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
105,2020,58000.0,79415,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
106,2020,67000.0,37209,Full time employee,Other,2,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
107,2020,105000.0,37214,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",6,3,4,Male,Not Asked
108,2020,55000.0,19146,Full time employee,Analyst,2,2 (I worked at another similar position elsewhere before this one),5,Male,Not Asked
109,2020,60600.0,33014,Full time employee,Data Scientist,1,1 (this is the only company where I've had this kind of position),None,Female,Not Asked
110,2020,144000.0,76014,Full time employee,Analyst,11,4,4,Male,Not Asked
111,2020,91000.0,80003,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",7,2 (I worked at another similar position elsewhere before this one),5,Male,Not Asked
112,2020,70000.0,67056,Full time employee,Developer: T-SQL,1,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
113,2020,109000.0,55405,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
115,2020,64000.0,53704,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
116,2020,135000.0,98122,Full time employee,Other,1,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
117,2020,97000.0,29210,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",6,4,1,Male,Not Asked
118,2020,62000.0,14214,Full time employee,Developer: T-SQL,9,2 (I worked at another similar position elsewhere before this one),4,Male,Not Asked
119,2020,54000.0,55439,Full time employee,Developer: T-SQL,4,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
120,2020,75000.0,,Full time employee,"Developer: App code (C#, JS, etc)",8,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
121,2020,55000.0,63640,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),5,Male,Not Asked
123,2020,111000.0,75057,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",4,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
124,2020,120000.0,60131,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),13,3,5,Male,Not Asked
126,2020,66000.0,43081,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
127,2020,57000.0,55105,Full time employee,Analyst,4,2 (I worked at another similar position elsewhere before this one),4,Male,Not Asked
128,2020,63000.0,19123,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),1,Female,Not Asked
129,2020,50000.0,29650,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
131,2020,72000.0,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",3,2 (I worked at another similar position elsewhere before this one),4,Male,Not Asked
132,2020,80000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),6,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
133,2020,73000.0,85255,Full time employee,Analyst,4,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
135,2020,58000.0,85,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
136,2020,110400.0,,Full time employee,Manager,7,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
137,2020,62000.0,52803,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",1,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
139,2020,100000.0,55401,Full time employee,Developer: T-SQL,7,3,4,Male,Not Asked
140,2020,87000.0,30096,Full time employee,Analyst,13,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
141,2020,68000.0,05401,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",4,3,2,Male,Not Asked
142,2020,145000.0,90042,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",5,3,More than 5,Male,Not Asked
143,2020,140000.0,92688,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),20,4,None,Male,Not Asked
144,2020,71500.0,48192,Full time employee,Manager,5,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
145,2020,80000.0,91,Full time employee,Analyst,10,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
146,2020,71500.0,48192,Full time employee,Manager,5,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
147,2020,82000.0,33411,Full time employee,Analyst,15,3,More than 5,Male,Not Asked
148,2020,75000.0,11102,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",1,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
149,2020,140000.0,22193,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),6,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
151,2020,105000.0,98052,Full time employee of a consulting/contracting company,Manager,10,3,4,Male,Not Asked
152,2020,90000.0,,Full time employee,"Developer: App code (C#, JS, etc)",7,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
154,2020,103000.0,02111,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",4,3,More than 5,Male,Not Asked
156,2020,65000.0,49202,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),5,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
157,2020,140000.0,63368,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",11,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
158,2020,98000.0,60090,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",5,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
159,2020,165000.0,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),12,5,1,Male,Not Asked
160,2020,120000.0,33611,Full time employee of a consulting/contracting company,Engineer,2,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
161,2020,97500.0,84070,Full time employee,Analyst,10,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
163,2020,40000.0,63132,Full time employee,"Developer: App code (C#, JS, etc)",1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
164,2020,142000.0,,Full time employee,Manager,8,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
165,2020,75000.0,40217,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
167,2020,130000.0,94043,Full time employee,Developer: T-SQL,6,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
168,2020,60000.0,,Full time employee,Developer: T-SQL,2,1 (this is the only company where I've had this kind of position),5,Male,Not Asked
169,2020,100000.0,07646,Full time employee,Other,21,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
170,2020,81000.0,80027,Full time employee,Analyst,3,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
171,2020,81000.0,80027,Full time employee,Analyst,3,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
172,2020,88500.0,24502,Full time employee,Engineer,3,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
174,2020,95000.0,80238,Full time employee,Developer: T-SQL,3,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
175,2020,125800.0,11207,Full time employee,Developer: T-SQL,9,3,3,Male,Not Asked
176,2020,55000.0,68102,Full time employee of a consulting/contracting company,Analyst,1,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
177,2020,105000.0,32839,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",1,3,1,mosquito ,Not Asked
178,2020,85000.0,92121,Full time employee,Developer: T-SQL,3,2 (I worked at another similar position elsewhere before this one),5,Male,Not Asked
179,2020,116000.0,92121,Full time employee,Developer: T-SQL,4,2 (I worked at another similar position elsewhere before this one),More than 5,Female,Not Asked
180,2020,80000.0,60957,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),13,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
181,2020,145500.0,92009,Full time employee,Architect,10,2 (I worked at another similar position elsewhere before this one),None,Female,Not Asked
182,2020,100000.0,37803,Full time employee,Engineer,2,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
183,2020,106500.0,25303,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),11,3,More than 5,Male,Not Asked
184,2020,60000.0,32256,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
185,2020,60000.0,32256,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
187,2020,74000.0,33431,Full time employee,Analyst,3,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
188,2020,80000.0,92880,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),2,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
191,2020,79063.0,20872,Full time employee,Other,1,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
193,2020,85000.0,52802,Full time employee of a consulting/contracting company,Analyst,5,5,None,Male,Not Asked
194,2020,95000.0,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",5,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
195,2020,145000.0,30101,Full time employee,Architect,18,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
198,2020,110000.0,94118,Full time employee,Analyst,2,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
199,2020,30000.0,84321,Part time,"Developer: Business Intelligence (SSRS, PowerBI, etc)",1,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
200,2020,65000.0,02135,Full time employee,Analyst,8,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
201,2020,80000.0,89147,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),3,3,2,Male,Not Asked
202,2020,103000.0,,Full time employee,Manager,6,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
203,2020,78000.0,98007,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",4,1 (this is the only company where I've had this kind of position),None,Female,Not Asked
204,2020,67017.0,43065,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",2,2 (I worked at another similar position elsewhere before this one),None,Female,Not Asked
205,2020,78000.0,98007,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",4,1 (this is the only company where I've had this kind of position),None,Female,Not Asked
206,2020,81000.0,55311,Full time employee,Analyst,15,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
207,2020,71000.0,,Full time employee,Developer: T-SQL,1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
208,2020,140000.0,92677,Full time employee,Engineer,14,3,1,Male,Not Asked
209,2020,52000.0,10013,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",2,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
210,2020,140000.0,92677,Full time employee,Engineer,14,3,1,Male,Not Asked
211,2020,87600.0,28227,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",6,2 (I worked at another similar position elsewhere before this one),4,Male,Not Asked
212,2020,144000.0,19508,Full time employee,Data Scientist,6,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
213,2020,60000.0,184,Full time employee,"Developer: App code (C#, JS, etc)",2,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
217,2020,90000.0,,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
218,2020,51700.0,,Full time employee,Developer: T-SQL,2,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
219,2020,57000.0,18960,Full time employee,Manager,1,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
220,2020,97700.0,90892,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
221,2020,115000.0,27601,Full time employee,Developer: T-SQL,8,3,1,Male,Not Asked
222,2020,77040.0,,Full time employee,Analyst,4,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
223,2020,45000.0,49506,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),2,Male,Not Asked
224,2020,155000.0,94401,Full time employee,Engineer,3,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
225,2020,52000.0,85379,Full time employee,Analyst,5,3,3,Female,Not Asked
228,2020,160000.0,52253,Full time employee,Manager,5,2 (I worked at another similar position elsewhere before this one),2,Male,Not Asked
229,2020,135500.0,98006,Full time employee of a consulting/contracting company,Engineer,2,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
230,2020,90000.0,19102,Full time employee,Engineer,3,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
231,2020,95000.0,37934,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),6,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
232,2020,88000.0,53717,Full time employee,"Developer: App code (C#, JS, etc)",6,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
233,2020,60000.0,33610,Full time employee,Analyst,1,1 (this is the only company where I've had this kind of position),None,Female,Not Asked
234,2020,83000.0,,Full time employee,"Developer: App code (C#, JS, etc)",2,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
235,2020,91000.0,,Full time employee,Other,4,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
237,2020,85000.0,14546,Full time employee,Engineer,4,3,1,Male,Not Asked
238,2020,85000.0,33716,Full time employee,Analyst,7,2 (I worked at another similar position elsewhere before this one),4,Male,Not Asked
239,2020,100000.0,,Full time employee,"Developer: App code (C#, JS, etc)",7,4,2,Male,Not Asked
240,2020,75000.0,97008,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
241,2020,68000.0,36104,Full time employee,Analyst,6,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
242,2020,132500.0,27614,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",1,3,None,Male,Not Asked
243,2020,68000.0,36104,Full time employee,Analyst,6,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
244,2020,49000.0,MK16,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),1,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
245,2020,83000.0,12078,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),0,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
246,2020,112000.0,49423,Full time employee,Manager,8,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
247,2020,72000.0,55901,Full time employee,Developer: T-SQL,5,1 (this is the only company where I've had this kind of position),None,Female,Not Asked
249,2020,72000.0,,Full time employee,Analyst,2,1 (this is the only company where I've had this kind of position),1,Male,Not Asked
250,2020,129000.0,98101,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),8,4,5,Female,Not Asked
251,2020,87600.0,55409,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
252,2020,140000.0,84102,"Independent consultant, contractor, freelancer,  or company owner",Engineer,1,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
253,2020,57000.0,,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
254,2020,81000.0,43016,Full time employee,Analyst,10,3,3,Male,Not Asked
257,2020,117000.0,60405,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",17,2 (I worked at another similar position elsewhere before this one),1,Male,Not Asked
258,2020,99000.0,40204,Full time employee,Developer: T-SQL,4,2 (I worked at another similar position elsewhere before this one),2,Female,Not Asked
259,2020,87000.0,37415,Full time employee,Analyst,7,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
260,2020,150000.0,46205,Full time employee,Architect,7,2 (I worked at another similar position elsewhere before this one),More than 5,Male,Not Asked
261,2020,94000.0,78730,Full time employee,Developer: T-SQL,18,1 (this is the only company where I've had this kind of position),None,Male,Not Asked
262,2020,90000.0,,Full time employee,Manager,10,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
263,2020,90000.0,,Full time employee,Manager,10,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
266,2020,98000.0,98014,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",14,3,None,Male,Not Asked
267,2020,140000.0,53202,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",16,1 (this is the only company where I've had this kind of position),3,Male,Not Asked
268,2020,95000.0,,Full time employee,Data Scientist,2,1 (this is the only company where I've had this kind of position),4,Male,Not Asked
269,2020,207000.0,80110,Full time employee,Manager,10,2 (I worked at another similar position elsewhere before this one),None,Male,Not Asked
271,2020,90000.0,85743,Full time employee,Developer: T-SQL,8,4,None,Male,Not Asked
272,2020,67000.0,97005,Full time employee,Analyst,3,1 (this is the only company where I've had this kind of position),More than 5,Male,Not Asked
274,2020,90000.0,06515,Full time employee,Analyst,7,2 (I worked at another similar position elsewhere before this one),1,Female,Not Asked
277,2020,115500.0,,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",8,3,1,Male,Not Asked
278,2020,123000.0,20814,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",8,3,None,Male,Not Asked
